aid,audcatid,artstid,Title,Album,Sevadar,Titlefws,Duration,audiosize,audiopath,audio_year,filename,cdnpath,imgpath,status,createdon
6472,212,67,Naam Simran,March 2024,BisamPreet Kaur Jalandhar,NS,42,39,NULL,2024,95 Bisampreet Kaur - Naam Simran (30-03-24)M.mp3,https://brahmbungadodra.org/kirtanrecords/samagams/March24/95%20Bisampreet%20Kaur%20-%20Naam%20Simran%20%2830-03-24%29M.mp3,,1,2024-03-30 03:20:26
6473,212,122,Jaha Shabad Vasai Jaha Dukh Ja,March 2024,Gurleen Kaur Jammu,JSVJDJ,22,21,NULL,2024,96 Gurleen Kaur Jammu-   Jaha Shabad Vasai Jaha Dukh Jaye (30-03-24)M.mp3,https://brahmbungadodra.org/kirtanrecords/samagams/March24/96%20Gurleen%20Kaur%20Jammu-%20%20%20Jaha%20Shabad%20Vasai%20Jaha%20Dukh%20Jaye%20%2830-03-24%29M.mp3,,1,2024-03-30 03:20:26
6474,212,602,Sabh Kich Kita Tera Vartai,March 2024,Tavleen Kaur Jammu,SKKTV,21,20,NULL,2024,97 Tavleen Kaur Jammu - Sabh Kich Kita Tera Vartai (30-03-24)M.mp3,https://brahmbungadodra.org/kirtanrecords/samagams/March24/97%20Tavleen%20Kaur%20Jammu%20-%20Sabh%20Kich%20Kita%20Tera%20Vartai%20%2830-03-24%29M.mp3,,1,2024-03-30 03:20:26
6475,212,468,Har Har Mel Mel Jan Sadhu,March 2024,Sukhdeep Singh USA,HHMMJS,26,24,NULL,2024,98 Sukhdeep Singh USA - Har Har Mel Mel Jan Sadhu (30-03-24)M.mp3,https://brahmbungadodra.org/kirtanrecords/samagams/March24/98%20Sukhdeep%20Singh%20USA%20-%20Har%20Har%20Mel%20Mel%20Jan%20Sadhu%20%2830-03-24%29M.mp3,,1,2024-03-30 03:20:26
6476,212,92,Daya Karo Basoh Man Aaye,March 2024,Daya Singh FBD,DKBMA,30,28,NULL,2024,99 Daya Singh - Daya Karo Basoh Man Aaye (30-03-24)M.mp3,https://brahmbungadodra.org/kirtanrecords/samagams/March24/99%20Daya%20Singh%20-%20Daya%20Karo%20Basoh%20Man%20Aaye%20%2830-03-24%29M.mp3,,1,2024-03-30 03:20:26
6477,212,142,Sadhsangat Ko Varia Jio Kia Ku,March 2024,Gurpreet Kaur FBD,SKVJKK,28,27,NULL,2024,100 Gurpreet Kaur FDB - Sadhsangat Ko Varia Jio Kia Kurban (30-03-24)M.mp3,https://brahmbungadodra.org/kirtanrecords/samagams/March24/100%20Gurpreet%20Kaur%20FDB%20-%20Sadhsangat%20Ko%20Varia%20Jio%20Kia%20Kurban%20%2830-03-24%29M.mp3,,1,2024-03-30 03:20:26
6478,212,166,Ram Bhaj Mil Sadhsangat,March 2024,Harjinder Kaur DL,RBMS,29,27,NULL,2024,101 Harjinder Kaur DL - Ram Bhaj Mil Sadhsangat (30-03-24)M.mp3,https://brahmbungadodra.org/kirtanrecords/samagams/March24/101%20Harjinder%20Kaur%20DL%20-%20Ram%20Bhaj%20Mil%20Sadhsangat%20%2830-03-24%29M.mp3,,1,2024-03-30 03:20:26
6479,212,52,Sadhi Sang Bhajoh Gopal,March 2024,Baljinder Kaur Babba,SSBG,36,34,NULL,2024,102 Baljinder Kaur - Sadhi Sang Bhajoh Gopal (30-03-24)M.mp3,https://brahmbungadodra.org/kirtanrecords/samagams/March24/102%20Baljinder%20Kaur%20-%20Sadhi%20Sang%20Bhajoh%20Gopal%20%2830-03-24%29M.mp3,,1,2024-03-30 03:20:26
6480,212,540,Sagal Bhavan Ke Naeika,March 2024,Japji Kaur,SBKN,19,18,NULL,2024,103 Japji Kaur Mumbai - Sagal Bhavan Ke Naeika (29-03-24)E.mp3,https://brahmbungadodra.org/kirtanrecords/samagams/March24/103%20Japji%20Kaur%20Mumbai%20-%20Sagal%20Bhavan%20Ke%20Naeika%20%2829-03-24%29E.mp3,,1,2024-03-30 03:20:26
6481,212,331,Asa Di Vaar 1-8,March 2024,Nainpreet Singh Delhi,ADV1,44,40,NULL,2024,104 Nainpreet Singh DL - Asa Di Vaar 1-8 (30-03-24)M.mp3,https://brahmbungadodra.org/kirtanrecords/samagams/March24/104%20Nainpreet%20Singh%20DL%20-%20Asa%20Di%20Vaar%201-8%20%2830-03-24%29M.mp3,,1,2024-03-30 03:20:26
6482,212,242,Asa Di Vaar 9-12,March 2024,Jasbir Singh Ambala,ADV9,22,20,NULL,2024,105 Jasbir Singh - Asa Di Vaar 9-12 (25-03-24)M.mp3,https://brahmbungadodra.org/kirtanrecords/samagams/March24/105%20Jasbir%20Singh%20-%20Asa%20Di%20Vaar%209-12%20%2825-03-24%29M.mp3,,1,2024-03-30 03:20:26
6483,212,277,Asa Di Vaar 13-16,March 2024,Kaur Ji,ADV1,12,12,NULL,2024,106 Kritika Kaur Bhopal - Asa Di Vaar 13-16 (29-03-24)M.mp3,https://brahmbungadodra.org/kirtanrecords/samagams/March24/106%20Kritika%20Kaur%20Bhopal%20-%20Asa%20Di%20Vaar%2013-16%20%2829-03-24%29M.mp3,,1,2024-03-30 03:20:26
6484,212,257,Asa Di Vaar 17-20,March 2024,Jasraj Singh USA,ADV1,25,23,NULL,2024,107 Jasraj Singh USA - Asa Di Vaar 17-20 (29-03-24)M.mp3,https://brahmbungadodra.org/kirtanrecords/samagams/March24/107%20Jasraj%20Singh%20USA%20-%20Asa%20Di%20Vaar%2017-20%20%2829-03-24%29M.mp3,,1,2024-03-30 03:20:26
6485,212,218,Asa Di Vaar 21-24,March 2024,Jagdeep Singh DL,ADV2,28,26,NULL,2024,108 Jagdeep Singh DL - Asa Di Vaar 21-24 (29-03-24)M.mp3,https://brahmbungadodra.org/kirtanrecords/samagams/March24/108%20Jagdeep%20Singh%20DL%20-%20Asa%20Di%20Vaar%2021-24%20%2829-03-24%29M.mp3,,1,2024-03-30 03:20:26
6486,212,528,Rehraas Sahib,March 2024,Raunaq Kaur Bhopal,RS,37,34,NULL,2024,109 Ronak Kaur Bhopal - Rehraas Sahib (28-03-24)E.mp3,https://brahmbungadodra.org/kirtanrecords/samagams/March24/109%20Ronak%20Kaur%20Bhopal%20-%20Rehraas%20Sahib%20%2828-03-24%29E.mp3,,1,2024-03-30 03:20:26
6437,212,619,Naam Simran,March 2024,Ravneet Kaur Calgary,NS,37,35,NULL,2024,60 Ravneet Kaur Canada - Naam Simran (27-03-24)E.mp3,https://brahmbungadodra.org/kirtanrecords/samagams/March24/60%20Ravneet%20Kaur%20Canada%20-%20Naam%20Simran%20%2827-03-24%29E.mp3,,1,2024-03-29 23:42:59
6438,212,193,GV - 16 Dharam Parchaar Part -,March 2024,Harpreet Singh Delhi,G-1DPP-,35,32,NULL,2024,61 Harpreet Singh DL - GV - 16 Dharam Parchaar Part - 5 (27-03-24)E.mp3,https://brahmbungadodra.org/kirtanrecords/samagams/March24/61%20Harpreet%20Singh%20DL%20-%20GV%20-%2016%20Dharam%20Parchaar%20Part%20-%205%20%2827-03-24%29E.mp3,,1,2024-03-29 23:42:59
6439,212,536,Te Har Jan Har Meloh Hum Pyare,March 2024,Jobanpreet Kaur,THJHMHP,24,22,NULL,2024,62 Jobanpreet Kaur - Te Har Jan Har Meloh Hum Pyarey (27-03-24)E.mp3,https://brahmbungadodra.org/kirtanrecords/samagams/March24/62%20Jobanpreet%20Kaur%20-%20Te%20Har%20Jan%20Har%20Meloh%20Hum%20Pyarey%20%2827-03-24%29E.mp3,,1,2024-03-29 23:42:59
6440,212,396,Mitr Asadre Sae,March 2024,Raveena Kaur,MAS,21,20,NULL,2024,63 Raveena Kaur - Mitr Asadre Sae (27-03-24)E.mp3,https://brahmbungadodra.org/kirtanrecords/samagams/March24/63%20Raveena%20Kaur%20-%20Mitr%20Asadre%20Sae%20%2827-03-24%29E.mp3,,1,2024-03-29 23:42:59
6441,212,139,Tum Ho Sabh Rajan Ke Raja + Jh,March 2024,Gurpreet Kaur BTD,THSRKR+J,58,54,NULL,2024,64 Gurpreet Kaur BTD+Gurpreet Kaur FDB - Tum Ho Sabh Rajan Ke Raja + Jhim Jhim Amrit Varsda (27-03-24)E.mp3,https://brahmbungadodra.org/kirtanrecords/samagams/March24/64%20Gurpreet%20Kaur%20BTD%2BGurpreet%20Kaur%20FDB%20-%20Tum%20Ho%20Sabh%20Rajan%20Ke%20Raja%20%2B%20Jhim%20Jhim%20Amrit%20Varsda%20%2827-03-24%29E.mp3,,1,2024-03-29 23:42:59
6442,212,92,Har Rang Rata Man Raam Gun Gav,March 2024,Daya Singh FBD,HRRMRGG,45,42,NULL,2024,65 Daya Singh - Har Rang Rata Man Raam Gun Gavey (27-03-24)E.mp3,https://brahmbungadodra.org/kirtanrecords/samagams/March24/65%20Daya%20Singh%20-%20Har%20Rang%20Rata%20Man%20Raam%20Gun%20Gavey%20%2827-03-24%29E.mp3,,1,2024-03-29 23:42:59
6443,212,518,Naam Simran,March 2024,Aarushi Kaur,NS,38,35,NULL,2024,66 Aarushi Kaur USA - Naam Simran (28-03-24)M.mp3,https://brahmbungadodra.org/kirtanrecords/samagams/March24/66%20Aarushi%20Kaur%20USA%20-%20Naam%20Simran%20%2828-03-24%29M.mp3,,1,2024-03-29 23:42:59
